product_title,review_headline,review_date,Sentiment
10A: Collected Works of G. K. Chesterton: Collected Poetry : Part 1,A Fantastic Collection from a Man who had an Inimitable Way with Words,"Wednesday, May 2, 2012",Positive
"11 Days in December: Christmas at the Bulge, 1944","If I could give it 0 stars, I would","Monday, April 30, 2012",Negative
11/22/63: A Novel,11/22/63,"Wednesday, May 2, 2012",Positive
11/22/63: A Novel,A Great Read!,"Sunday, April 29, 2012",Positive
11/22/63: A Novel,Best Book I Have Ever Read,"Sunday, April 29, 2012",Positive
11/22/63: A Novel,Failing to explain the Time Travel mode creates a fantasy rather than science fiction genre offering.,"Tuesday, May 1, 2012",Positive
11/22/63: A Novel,I wish Stephen King would write longer books,"Tuesday, May 1, 2012",Positive
11/22/63: A Novel,Nicely done!,"Tuesday, May 1, 2012",Positive
11/22/63: A Novel,Not diabetic friendly,"Tuesday, May 1, 2012",Positive
11/22/63: A Novel,Perhaps the best book I've ever read,"Tuesday, May 1, 2012",Positive
11/22/63: A Novel,Thank you Stephen King,"Tuesday, May 1, 2012",Positive
11/22/63: A Novel,Timeless,"Monday, April 30, 2012",Positive
11/22/63: A Novel,What a truly awful book,"Monday, April 30, 2012",Negative
11/22/63: A Novel,burnt souffle,"Monday, April 30, 2012",Positive
"110 Irish Mandolin Tunes, Volume 1",if only if ...,"Monday, April 30, 2012",Positive
1222: Hanne Wilhelmsen Book Eight (A Hanne Wilhelmsen Novel),Disappointing..,"Monday, April 30, 2012",Negative
1225 Christmas Tree Lane (Cedar Cove),1225 Christmas tree Lane (Cedar Cove),"Tuesday, May 1, 2012",Positive
127 Hours: Between a Rock and a Hard Place,Surprisingly well written and very gripping,"Monday, April 30, 2012",Positive
13 (The Applause Libretto Library) - The Complete Book and Lyrics of the Broadway Musical,13(Broadway Musical) Book and Lyrics,"Monday, April 30, 2012",Positive
13 Things That Don't Make Sense: The Most Baffling Scientific Mysteries of Our Time,Garbage,"Wednesday, May 2, 2012",Positive
14 Minutes: A Running Legend's Life and Death and Life,Very straightforward autobiography,"Wednesday, May 2, 2012",Positive
"14,000 Things to be Happy About.: Revised and Updated edition",Not Bad,"Monday, April 30, 2012",Positive
1493: Uncovering the New World Columbus Created,A Brave New World,"Monday, April 30, 2012",Positive
15 Seconds,Edge Of Your Seat Thriller!!,"Tuesday, May 1, 2012",Positive
"1519 All-Natural, All-Amazing Gardening Secrets: Expert Tips for gardens and Yards of All sizes",Fun Book,"Wednesday, May 2, 2012",Positive
1609: Winter of the Dead: A Novel of the Founding of Jamestown (Young Founders),Not what the title infers,"Sunday, April 29, 2012",Positive
1636: The Saxon Uprising (The Ring of Fire),The story continues,"Tuesday, May 1, 2012",Positive
17 Degrees North,Exciting Read,"Monday, April 30, 2012",Positive
1776,A good review of an important year,"Sunday, April 29, 2012",Positive
"18 Minutes: Find Your Focus, Master Distraction, and Get the Right Things Done",Just What I Neeeded,"Monday, April 30, 2012",Positive
1861: The Civil War Awakening,Good overview of the beginning of the Civil War,"Wednesday, May 2, 2012",Positive
1912 Facts About the Titanic,1912 facts about Titanic,"Sunday, April 29, 2012",Positive
1918: War and Peace,A Very Troubled Europe,"Tuesday, May 1, 2012",Positive
1940s Hairstyles,Good but complicated; reprinted now,"Wednesday, May 2, 2012",Positive
"1971 Chassis Service Manual (Chevrolet, Chevelle, Monte Carlo, Nova, Camaro & Corvette)",Service manual,"Monday, April 30, 2012",Positive
"1979 Book of Common Prayer, Economy Edition (Green)",book of common prayer,"Sunday, April 29, 2012",Negative
1: Beginning Piano: An Adult Approach,book's cover condition appeared slightly worn,"Wednesday, May 2, 2012",Positive
1: Pilipino through Self-Instruction,Book Review,"Monday, April 30, 2012",Positive
1: The Artscroll Tehillim - Pocket Size,"Almost perfect, but not quite...","Tuesday, May 1, 2012",Positive
1: The Fallen (Nine Lives of Chloe King),Good to pass the time with,"Wednesday, May 2, 2012",Positive
1Q84,Good story dragged out too far,"Sunday, April 29, 2012",Positive
1Q84,"Lots of filler, few mysteries explained","Wednesday, May 2, 2012",Positive
2 Peter 1 Paradigm,Great book and resource!,"Tuesday, May 1, 2012",Negative
2 Seconds Late (By the Numbers),This Might Hurt A Little...,"Sunday, April 29, 2012",Negative
2-at-a-Time Socks: Revealed Inside. . . The Secret of Knitting Two at Once on One Circular Needle; Works for any Sock Pattern!,Difficult to follow and top-down socks only,"Wednesday, May 2, 2012",Positive
"20 Minutes to Dinner: Quick, Low-Fat, Low-Calorie Vegetarian Meals",Like her other cookbooks better,"Monday, April 30, 2012",Positive
"200 Crochet Flowers, Embellishments & Trims: Contemporary designs for embellishing all of your accessories",awesome book,"Sunday, April 29, 2012",Positive
"200 Ways to Raise a Girl's Self-Esteem: An Indespensable Guide for Parents, Teachers & Other Concerned Caregivers","Joyful, loving and tender plus a powerful protection against eating disorders","Wednesday, May 2, 2012",Positive
2001 Mitsubishi Mirage Owners Manual,Mitsubishi Mirage Car Onwers Manual,"Tuesday, May 1, 2012",Positive
2007 MicrosoftÆ Office System Plain & Simple,Microsoft Plain & Simple,"Monday, April 30, 2012",Positive
2009 International Plumbing Code Need to Know: The 20% of the Code You Need 80% of the Time,Don't waste your money,"Wednesday, May 2, 2012",Positive
"2010 ICD-10-CM, Standard Edition DRAFT (Softbound), 1e (Sanders ICD-10-CM (Standard Edition/2 Vols))",Excellent book to prepare for ICD 10,"Monday, April 30, 2012",Positive
"2010 ICD-10-CM, Standard Edition DRAFT (Softbound), 1e (Sanders ICD-10-CM (Standard Edition/2 Vols))",Ms. C Buck is a highly qualified editor,"Sunday, April 29, 2012",Positive
2011 Texas Longhorns Calendar,2011 Texas Longhorns Calendar,"Monday, April 30, 2012",Neutral
2011 Writer's Market,buying last years edition worked out ok,"Wednesday, May 2, 2012",Positive
"2012 Bunny Suicides, Weekly Postcard Calendar (English, German, French and Dutch Edition)",Enjoy it every week,"Sunday, April 29, 2012",Positive
2012 Cakes Wall calendar,Beautiful Photography of Yummy Cakes!,"Wednesday, May 2, 2012",Positive
2012 California Bar Exam Total Preparation Book,Great,"Sunday, April 29, 2012",Positive
2012 Charles Wysocki  Americana Wall Calendar,2012 Charles Wysocki Ameri... (Calendar),"Sunday, April 29, 2012",Positive
2012 Corvette Wall Calendar,My tenth 'Vette calendar,"Sunday, April 29, 2012",Negative
2012 Islands Wall calendar,Pretty Islands,"Monday, April 30, 2012",Positive
2012 Potpourri Tri-View  calendar,Calendar,"Sunday, April 29, 2012",Positive
2012 Pro Football Draft Guide,Index,"Tuesday, May 1, 2012",Positive
2012 Writer's Market,Great Writing Tool!!,"Monday, April 30, 2012",Positive
2012 Writer's Market Deluxe Edition,FANTASTIC!!!!!!!,"Monday, April 30, 2012",Positive
2025 the Guardian,Well written & provocative,"Tuesday, May 1, 2012",Positive
"2044: The Problem isn't Big Brother. It's Big Brother, Inc.","A ""must-read"" in these times","Sunday, April 29, 2012",Positive
21 Days of Eating Mindfully: Your Guide to a Healthy Relationship with Yourself and Food (Volume 2),Leading Edge Approach!,"Tuesday, May 1, 2012",Positive
21 Secrets of Real Estate Millionaires,21 secrets of real esate millionaires,"Tuesday, May 1, 2012",Positive
21 Sensational Patchwork Bags,good book,"Tuesday, May 1, 2012",Positive
"23 Minutes In Hell: One Man's Story About What He Saw, Heard, and Felt in that Place of Torment","Fear Mongering - ""They are transformed by the love, not by fear...""","Tuesday, May 1, 2012",Positive
23 Questions About Hell: DVD included...with Bill's amazing story and the lessons he learned from his visit to hell.,Riveting!,"Tuesday, May 1, 2012",Positive
23 Things They Don't Tell You About Capitalism,Made Sense,"Monday, April 30, 2012",Positive
25 Lessons I've Learned about Photography...Life,A new outlook on Photography,"Monday, April 30, 2012",Positive
27 Men Out: Baseball's Perfect Games,27 MEN OUT,"Monday, April 30, 2012",Positive
28 Truths Taught by the Book of Mormon,No different than standard study manuals for RS or Priesthood.,"Tuesday, May 1, 2012",Positive
"2: CQB, Assault Rifle and Sniper Technology (Silencer History & Performance)","Disappointing, few diagrams of more recent suppressors","Tuesday, May 1, 2012",Positive
"2nd Armored Division ""Hell on Wheels""",Solid Book,"Tuesday, May 1, 2012",Positive
3-D Cake Cartooning,goor for cake designer,"Monday, April 30, 2012",Neutral
3-D Thrillers: Snakes and Other Extraordinary Reptiles,My son loves this...,"Wednesday, May 2, 2012",Positive
30 Days to Understanding Other People: A Daily Guide to Improving Relationships,Get On The Fast Track To Improving Relationships!,"Tuesday, May 1, 2012",Positive
30 Days to a More Powerful Vocabulary,awesome book,"Tuesday, May 1, 2012",Positive
30-Minute Earrings: 60 Quick & Creative Projects for Jewelers,30 Minute Earrings,"Sunday, April 29, 2012",Positive
300 Medical Coding Exam Questions and Answers,300 Medical Coding Exam Questions and Answers,"Wednesday, May 2, 2012",Positive
300+ Magnets In Plastic Canvas  (Leisure Arts #1807),300+ Magnets,"Monday, April 30, 2012",Positive
32 Fangs: A Final Vampire Tale (Laura Caxton Vampire),The End:,"Monday, April 30, 2012",Negative
32 Ways to Be a Champion in Business,Not a complete review,"Sunday, April 29, 2012",Negative
"365 Activities for Fitness, Food, and Fun for the Whole Family",Great!,"Tuesday, May 1, 2012",Positive
365 Decadent Dishes For Chocolate Lovers (365 Perpetual Calendars),lip smacking good,"Tuesday, May 1, 2012",Positive
365 Puppies-a-Year 2012 Calendar (Picture-A-Day Wall Calendars),My puppy is featured on this calendar!!!!,"Monday, April 30, 2012",Negative
365 Ways to Cook Chicken,"Simple, delicious, homecooking","Wednesday, May 2, 2012",Positive
365 Wild Game Recipes,Shockingly Delicious,"Wednesday, May 2, 2012",Positive
"3: Behold the Man (Kingdom and the Crown, Vol 3)",The times of Jesus come alive,"Tuesday, May 1, 2012",Positive
3: Princess Sultana's Circle (Princess Trilogy),I AM NOT SURPRISED,"Sunday, April 29, 2012",Negative
3D Math Primer For Graphics and Game Development (Wordware Game Math Library),Jaruwan Mesit,"Monday, April 30, 2012",Positive
40 Days To Better Living --Weight Management,Great devotional.weightloss,"Wednesday, May 2, 2012",Positive
40 Irrefutable Signs of the Last Generation,40 understandable reasons to look up,"Monday, April 30, 2012",Positive
40+ Love,"A short, intense phase in a woman's life","Wednesday, May 2, 2012",Positive
419,Dear Sir....,"Monday, April 30, 2012",Positive
44 Horrible Dates,HILARIOUS ...and Familiar ! LOL,"Wednesday, May 2, 2012",Negative
44 Horrible Dates,HILARIOUS!!!!,"Tuesday, May 1, 2012",Neutral
44 Horrible Dates,HYSTERICAL!!!,"Wednesday, May 2, 2012",Positive
44 Horrible Dates,LOVE LOVE LOVE,"Tuesday, May 1, 2012",Positive
48 Days to the Work You Love: Preparing for the New Normal,Good Career Book For Anyone- employed or unemployed,"Tuesday, May 1, 2012",Positive
4: The Convoluted Universe Book IV,Delores Cannon is Awesome!,"Monday, April 30, 2012",Positive
5 A Day Kids Cookbook (Features Over 30 Recipes Kids Love To Make & Eat),Cook Book,"Tuesday, May 1, 2012",Positive
5 Pillars of the Gypsy,The flow of Gypsy took me through life's changes.,"Wednesday, May 2, 2012",Positive
"5,000 Reasons to Smile . . . for Chicks",Pathetic,"Wednesday, May 2, 2012",Positive
5/3/1: The Simplest and Most Effective Training System to Increase Raw Strength,an absolute must buy!!!,"Tuesday, May 1, 2012",Positive
"50 Lighting Setups for Portrait Photographers: Easy-To-Follow Lighting Designs and Diagrams, Vol. 2",Take the 50 Challenge,"Wednesday, May 2, 2012",Positive
50 Paintings You Should Know,Excellent intro to art!,"Wednesday, May 2, 2012",Positive
50 Ripple Stitches (Annie's Attic: Crochet),Variety of Patterns,"Monday, April 30, 2012",Positive
50 Simple Steps to Save the World's Rainforests: How to Save Our Rainforests with Everyday Acts,50 Simple Steps to Save the World's Rainforests,"Wednesday, May 2, 2012",Positive
50 Simple Steps to Save the World's Rainforests: How to Save Our Rainforests with Everyday Acts,We can make a difference!!,"Wednesday, May 2, 2012",Positive
50 Years of the U-2: The Complete Illustrated History of the Dragon Lady,Regards the U-2,"Wednesday, May 2, 2012",Positive
50% Off Murder (Good Buy Girls),Highly entertaining debut of new series,"Monday, April 30, 2012",Positive
500 Cameras: 170 Years of Photographic Innovation,500 Cameras,"Monday, April 30, 2012",Positive
500 Cameras: 170 Years of Photographic Innovation,Like walking through a museum,"Tuesday, May 1, 2012",Positive
"500 Cookies, Biscuits and Bakes: An irresistible collection of cookies, scones, bars, brownies, slices, muffins, shortbread, cup cakes, flapjacks, ... and more, shown in 500 fabulous photographs",COOKIES COOKBOOK,"Tuesday, May 1, 2012",Positive
52 Lies Heard in Church Every Sunday: ...And Why the Truth Is So Much Better,Fundamental Flaws,"Tuesday, May 1, 2012",Positive
52 More Scrapbooking Challenges (Creating Keepsakes),Fun and creative,"Sunday, April 29, 2012",Positive
57 Minutes: All That Stands Between You and a Better Life,Awesome book - insightful reading,"Tuesday, May 1, 2012",Positive
57 Minutes: All That Stands Between You and a Better Life,Great gift,"Sunday, April 29, 2012",Positive
"632-02 Heinrich Hoffmann : Hitler in His Mountains / Hitler in seinen Bergen (Heinrich Hoffmann ADOLF HITLER Picture Books, 632-02)",Way Overrated,"Sunday, April 29, 2012",Positive
"65 Things to Do When You Retire, 65 Notable Achievers on How to Make the Most of the Rest of Your Life",Starts you thinking.,"Monday, April 30, 2012",Positive
7 Clues to Winning You,Hobbitsies Reviews: Perfect pick-me-up,"Monday, April 30, 2012",Positive
"7 Scorpions, Book 1: Rebellion",Race to Save the World,"Tuesday, May 1, 2012",Positive
7 Secrets of a Phenomenal L.I.F.E.,7 SECRETS of a PNENOMENAL L.I.F.E.,"Monday, April 30, 2012",Positive
7 Secrets of a Phenomenal L.I.F.E.,7 Secrets of a Phenomenal Life,"Tuesday, May 1, 2012",Positive
7 Secrets of a Phenomenal L.I.F.E.,A MUST Read!,"Tuesday, May 1, 2012",Positive
7 Secrets of a Phenomenal L.I.F.E.,A Phenomenal book,"Monday, April 30, 2012",Positive
7 Secrets of a Phenomenal L.I.F.E.,Fantastic book.,"Monday, April 30, 2012",Neutral
7 Secrets of a Phenomenal L.I.F.E.,Great book,"Monday, April 30, 2012",Neutral
7 Secrets of a Phenomenal L.I.F.E.,Howard's The Real Deal!,"Monday, April 30, 2012",Positive
7 Secrets of a Phenomenal L.I.F.E.,Phenomenal,"Tuesday, May 1, 2012",Positive
7 Secrets of a Phenomenal L.I.F.E.,Phenomenal Howard Partridge Does It Once Again!,"Monday, April 30, 2012",Positive
7 Secrets of a Phenomenal L.I.F.E.,Phenomenal!!!!,"Tuesday, May 1, 2012",Positive
7 Secrets of a Phenomenal L.I.F.E.,The title says it all ... PHENOMENAL!,"Wednesday, May 2, 2012",Positive
7 Secrets of a Phenomenal L.I.F.E.,"Very Uplifting, Helpful Tips Too!","Monday, April 30, 2012",Positive
7 Secrets of a Phenomenal L.I.F.E.,What an inspiring book!!,"Monday, April 30, 2012",Positive
7 Secrets of a Phenomenal L.I.F.E.,Worth while edition to my library,"Wednesday, May 2, 2012",Positive
7 Tipping Points That Saved the World,Fantastic Book,"Tuesday, May 1, 2012",Positive
7 Truths That Changed the World: Discovering Christianity's Most Dangerous Ideas (Reasons to Believe),Christianity's Dangerous Truths,"Tuesday, May 1, 2012",Positive
"7 Weeks to Getting Ripped: The Ultimate Weight-Free, Gym-Free Training Program","Awesome low cost, big impact workout","Monday, April 30, 2012",Positive
70 years of miracles (Horizon books),Great story of God's actions in a person's life,"Wednesday, May 2, 2012",Positive
"75 Ways to Love Your Oatmeal and Other Treats, Tips & Tricks",It's OK; maybe didn't justify a whole book,"Tuesday, May 1, 2012",Positive
77 Shadow Street,Great book,"Monday, April 30, 2012",Positive
77 Shadow Street,More talented writers have gone here before,"Sunday, April 29, 2012",Positive
78 Reasons Why Your Book May Never Be Published and 14 Reasons Why It Just Might,spot on,"Monday, April 30, 2012",Positive
8 Minute Meditation: Quiet Your Mind. Change Your Life.,Life Changing Book,"Monday, April 30, 2012",Positive
"8 Steps to a Pain-Free Back: Natural Posture Solutions for Pain in the Back, Neck, Shoulder, Hip, Knee, and Foot","Elegant, life-long solution for back pain","Sunday, April 29, 2012",Positive
"8 Steps to a Pain-Free Back: Natural Posture Solutions for Pain in the Back, Neck, Shoulder, Hip, Knee, and Foot",This info really works!!!,"Monday, April 30, 2012",Positive
"8,789 Words of Wisdom",it works,"Wednesday, May 2, 2012",Positive
"88 Great Daddy-Daughter Dates: Fun, Easy & Creative Ways to Build Memories Together",Great books for Dads!,"Wednesday, May 2, 2012",Positive
9/11 Synthetic Terror: Made in USA,Deluded pictures in the clouds.  Where is the skepticism about their own skepticism?,"Monday, April 30, 2012",Positive
90 Minutes in Heaven Leader's Guide: See Life's Troubles in a Whole New Light,"Extremely mediocre, and not what I expected","Sunday, April 29, 2012",Positive
90 Minutes in Heaven: A True Story of Death and Life,Interesting Story,"Monday, April 30, 2012",Positive
92 Pacific Boulevard (Cedar Cove Novels),dissatisfied,"Tuesday, May 1, 2012",Negative
"99 Things Women Wish They Knew Before Saying ""I Do""",A Must Read For Every Woman,"Tuesday, May 1, 2012",Positive
"9Lenses Insight to Action: A Social Approach to Business Optimization (9Lenses Bookshelf, Volume 1)",9Lenses Insight to Action,"Monday, April 30, 2012",Positive
"9Lenses Insight to Action: A Social Approach to Business Optimization (9Lenses Bookshelf, Volume 1)",Right on the mark,"Monday, April 30, 2012",Negative
"A BRIDE'S DILEMMA IN FRIENDSHIP, TENNESSEE (Brides & Weddings)",A Tiny Piece of Heaven,"Wednesday, May 2, 2012",Positive
"A BRIDE'S DILEMMA IN FRIENDSHIP, TENNESSEE (Brides & Weddings)",What if God's plan looks different than yours?,"Wednesday, May 2, 2012",Positive
A Baby Boomer's Guide to Their Second Sixties,written by a friend,"Sunday, April 29, 2012",Positive
A Babyís Cry,A suspenseful  but endearing read...,"Tuesday, May 1, 2012",Positive
A Battlefield Atlas of the American Revolution,Great Rev War Maps,"Tuesday, May 1, 2012",Positive
A Beautiful Bowl of Soup: The Best Vegetarian Recipes,Delicious soups!!,"Wednesday, May 2, 2012",Positive
A Beautiful Dark,Library Lady Hylary - A love triangle for paranormal romance enthusiasts,"Sunday, April 29, 2012",Positive
"A Beginning, An Ending: A true story about Love, Ambition and Self-worth","Cathys Belya A Beginning, An Ending","Wednesday, May 2, 2012",Positive
A Behanding in Spokane - Acting Edition,Quirky and bizarre crime story,"Tuesday, May 1, 2012",Positive
A Better Plan for Us: A Study of the Book of Hebrews,A Better Plan For Us,"Wednesday, May 2, 2012",Positive
A Bipolar's Song: An Inspirational Book of The Bipolar Disease,An Emotional Tug At The Heart,"Monday, April 30, 2012",Positive
A Bitter Freedom,Exciting Adventure Novel,"Sunday, April 29, 2012",Positive
A Bitter Veil,Historical Thriller,"Wednesday, May 2, 2012",Positive
A Blistered Kind of Love: One Couple's Trial by Trail (Barbara Savage Award Winner),Blistered Kind of Love:One Couple's Trial by Trail,"Monday, April 30, 2012",Positive
A Blonde Bengali Wife,Good fun read,"Monday, April 30, 2012",Positive
A Blooding at Great Meadows: Young George Washington and the Battle That Shaped the Man,Washington's Blooding at Great Meadows,"Monday, April 30, 2012",Positive
A Bluestocking in Charleston : The Life and Career of Laura Bragg,Decent read,"Monday, April 30, 2012",Negative
A Body Broken for a Broken People: Eucharist in the New Testament,An Unsurpassed Book,"Wednesday, May 2, 2012",Positive
A Body to Die For (Savannah Reid),Love puns in titles!,"Monday, April 30, 2012",Positive
A Book of Troth,Very satisfied,"Tuesday, May 1, 2012",Positive
A Breath of Eyre,Lost in Eyre,"Tuesday, May 1, 2012",Positive
A Brief History of Time: a Readers Companion,More a popular biography than a serious book on astrophysics,"Sunday, April 29, 2012",Positive
A Brief History of the Doctrine of the Trinity in the Early Church (T&T Clark),"Doctrine is the attempt to speak of God faithfully to our culture, but it is limited to the tools that are available","Tuesday, May 1, 2012",Positive
A Brief Infinity: Poems,Amazing images,"Wednesday, May 2, 2012",Positive
A Bunch of Fives: Selected Stories,The Best of Helen Simpson,"Wednesday, May 2, 2012",Positive
A Callahan Wedding,Not my favorite.,"Monday, April 30, 2012",Positive
A Caregiver's Guide to Lewy Body Dementia,Disappointed and not worth the money,"Thursday, May 3, 2012",Positive
A Caregiver's Winding Road,Very heartfelt!!,"Monday, April 30, 2012",Positive
A Caricaturist's Handbook: How to Draw Caricatures and Master Exaggeration,Something to whet the appetite,"Wednesday, May 2, 2012",Positive
A Case Manager's Study Guide: Preparing for Certification,CCMC Exam,"Wednesday, May 2, 2012",Positive
A Case of Anecdotage,Cannot put this book down!!!!!!!!,"Monday, April 30, 2012",Positive
"A Certain Tendency of the Hollywood Cinema, 1930-1980",Scholarly yet accessible,"Tuesday, May 1, 2012",Positive
A Champion's Mind: Lessons from a Life in Tennis,The champion's perspective of the game,"Sunday, April 29, 2012",Positive
A Cheater's Promise (New Edition),Written for the Sexually Erotic,"Tuesday, May 1, 2012",Positive
A Child A Mother Should Love,"A heart wrenching, but a real page turner.","Wednesday, May 2, 2012",Positive
A Chronology of French Military Campaigns and Expeditions with Their Postal Markings 1815-1983,Amazed and glad I was able to buy this book!,"Wednesday, May 2, 2012",Positive
"A Clash of Kings (A Song of Ice and Fire, Book 2)",Who Will Rule The Seven Kingdoms?,"Sunday, April 29, 2012",Positive
A Class Apart (Bookstrand Publishing Romance),A romantic romp with the English,"Sunday, April 29, 2012",Positive
A Collector of Affections: Tales from a Woman's Heart,Couldn't Put it Down!,"Wednesday, May 2, 2012",Positive
A Commentary on the Psalms: 1-41 (Kregel Exegetical Library),A Great Addition to Psalter Commentaries,"Tuesday, May 1, 2012",Positive
A Commentary on the Psalms: 1-41 (Kregel Exegetical Library),A Solid Commentary,"Tuesday, May 1, 2012",Positive
A Commentary on the Psalms: 1-41 (Kregel Exegetical Library),Allen Ross's Commentary on the Psalms Vol 1,"Tuesday, May 1, 2012",Positive
A Commentary on the Psalms: 1-41 (Kregel Exegetical Library),Exceptional Commentary,"Wednesday, May 2, 2012",Positive
A Commentary on the Psalms: 1-41 (Kregel Exegetical Library),Great Exposition With An Educational Introduction,"Tuesday, May 1, 2012",Positive
A Commentary on the Psalms: 1-41 (Kregel Exegetical Library),Great New Commentary On the Psalms,"Monday, April 30, 2012",Positive
A Commentary on the Psalms: 1-41 (Kregel Exegetical Library),One of the best critically engaged confessional scholars today,"Tuesday, May 1, 2012",Positive
A Commentary on the Psalms: 1-41 (Kregel Exegetical Library),Pastor Friendly,"Wednesday, May 2, 2012",Positive
